Price,Close,mom,signal_raw,signal_shift,ret_daily,strat_ret,wealth_market,wealth_strategy,trade_side_raw,strat_ret_net,wealth_strategy_net,signal_costaware,signal_cost_shift,strat_ret_ca,trade_side_ca,strat_ret_ca_net,wealth_strategy_ca,wealth_strategy_ca_net
Ticker,SPY,,,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2024-05-13,520.9099731445312,0.032629518364933,1,1.0,0.0001342951490974631,0.0001342951490974631,1.0904313965840813,1.249018763316645,0.0,0.0001342951490974631,1.2249039064406213,1,1.0,0.0001342951490974631,0.0,0.0001342951490974631,1.2625053133859274,1.2393758249800124
2024-05-14,523.2999877929688,0.03926278287609497,1,1.0,0.004588152985457228,0.004588152985457228,1.095434462651755,1.2547494524844482,0.0,0.004588152985457228,1.2305239529558551,1,1.0,0.004588152985457228,0.0,0.004588152985457228,1.2682978809086947,1.245062270871498
2024-05-15,529.780029296875,0.058395848999592825,1,1.0,0.012383033929039389,0.012383033929039389,1.1089992647698106,1.2702870575270067,0.0,0.012383033929039389,1.2457615728158031,1,1.0,0.012383033929039389,0.0,0.012383033929039389,1.2840032566001158,1.2604799192154665
2024-05-16,528.6900024414062,0.05839608838343402,1,1.0,-0.002057508390634233,-0.002057508390634233,1.1067174894773395,1.2676734312476308,0.0,-0.002057508390634233,1.2431984079270049,1,1.0,-0.002057508390634233,0.0,-0.002057508390634233,1.2813614091260594,1.2578864712054547
2024-05-17,529.4500122070312,0.06925036006809826,1,1.0,0.0014375338328991294,0.0014375338328991294,1.1083084333119244,1.2694957546941166,0.0,0.0014375338328991294,1.2449855476994063,1,1.0,0.0014375338328991294,0.0,0.0014375338328991294,1.2832034095038494,1.2596947255657587
2024-05-20,530.0599975585938,0.060713992363277125,1,1.0,0.0011521113183465825,0.0011521113183465825,1.1095853280021621,1.2709583551216925,0.0,0.0011521113183465825,1.2464199096400888,1,1.0,0.0011521113183465825,0.0,0.0011521113183465825,1.2846818026756797,1.2611460341167444
2024-05-21,531.3599853515625,0.050845430169907946,1,1.0,0.0024525295229904653,0.0024525295229904653,1.1123066187773645,1.27407541801012,0.0,0.0024525295229904653,1.2494767912665241,1,1.0,0.0024525295229904653,0.0,0.0024525295229904653,1.2878325227243903,1.264239031998218
2024-05-22,529.8300170898438,0.048317234029384926,1,1.0,-0.0028793441431358424,-0.0028793441431358424,1.1091039052292166,1.270406916417359,0.0,-0.0028793441431358424,1.2458791175856068,1,1.0,-0.0028793441431358424,0.0,-0.0028793441431358424,1.284124409692744,1.2605988527459102
2024-05-23,525.9600219726562,0.044628557020212956,1,1.0,-0.007304220207159928,-0.007304220207159928,1.1010027660728015,1.2611275845471477,0.0,-0.007304220207159928,1.2367789421592594,1,1.0,-0.007304220207159928,0.0,-0.007304220207159928,1.2747448822309588,1.251391161132561
2024-05-24,529.4400024414062,0.041671570197993724,1,1.0,0.006616435324681147,0.006616435324681147,1.1082874796668172,1.2694717536464752,0.0,0.006616435324681147,1.2449620100409837,1,1.0,0.006616435324681147,0.0,0.006616435324681147,1.2831791492997082,1.2596709098160723
